cycle, pedal, velocity, acceleration
601,0.0384662,5.97147,0.197811
602,0.0385757,5.98136,0.197805
603,0.0386856,5.99125,0.1978
604,0.0387957,6.00114,0.197794
605,0.0389061,6.01103,0.197788
606,0.0390168,6.02092,0.197783
607,0.0391278,6.03081,0.197777
608,0.0392391,6.04069,0.197771
609,0.0393506,6.05058,0.197766
610,0.0394624,6.06047,0.19776
611,0.0395746,6.07036,0.197754
612,0.039687,6.08025,0.197748
613,0.0397997,6.09013,0.197743
614,0.0399126,6.10002,0.197737
615,0.0400259,6.10991,0.197731
616,0.0401394,6.11979,0.197726
617,0.0402533,6.12968,0.19772
618,0.0403674,6.13956,0.197714
619,0.0404818,6.14945,0.197708
620,0.0405965,6.15933,0.197703
621,0.0407115,6.16922,0.197697
622,0.0408268,6.1791,0.197691
623,0.0409423,6.18899,0.197685
624,0.0410582,6.19887,0.19768
625,0.0411743,6.20876,0.197674
626,0.0412907,6.21864,0.197668
627,0.0414074,6.22852,0.197662
628,0.0415244,6.23841,0.197657
629,0.0416417,6.24829,0.197651
630,0.0417593,6.25817,0.197645
631,0.0418772,6.26805,0.197639
632,0.0419953,6.27793,0.197633
633,0.0421138,6.28781,0.197628
634,0.0422325,6.2977,0.197622
635,0.0423516,6.30758,0.197616
636,0.0424709,6.31746,0.19761
637,0.0425905,6.32734,0.197604
638,0.0427104,6.33722,0.197599
639,0.0428306,6.3471,0.197593
640,0.0429511,6.35698,0.197587
641,0.0430718,6.36686,0.197581
642,0.0431929,6.37673,0.197575
643,0.0433142,6.38661,0.197569
644,0.0434359,6.39649,0.197564
645,0.0435578,6.40637,0.197558
646,0.0436801,6.41625,0.197552
647,0.0438026,6.42612,0.197546
648,0.0439254,6.436,0.19754
649,0.0440485,6.44588,0.197534
650,0.0441719,6.45575,0.197528
651,0.0442956,6.46563,0.197522
652,0.0444196,6.47551,0.197517
653,0.0445439,6.48538,0.197511
654,0.0446685,6.49526,0.197505
655,0.0447934,6.50513,0.197499
656,0.0449186,6.51501,0.197493
657,0.045044,6.52488,0.197487
658,0.0451698,6.53475,0.197481
659,0.0452958,6.54463,0.197475
660,0.0454222,6.5545,0.197469
661,0.0455488,6.56437,0.197463
662,0.0456758,6.57425,0.197457
663,0.045803,6.58412,0.197452
664,0.0459306,6.59399,0.197446
665,0.0460584,6.60386,0.19744
666,0.0461866,6.61374,0.197434
667,0.046315,6.62361,0.197428
668,0.0464437,6.63348,0.197422
669,0.0465728,6.64335,0.197416
670,0.0467021,6.65322,0.19741
671,0.0468317,6.66309,0.197404
672,0.0469616,6.67296,0.197398
673,0.0470919,6.68283,0.197392
674,0.0472224,6.6927,0.197386
675,0.0473532,6.70257,0.19738
676,0.0474844,6.71244,0.197374
677,0.0476158,6.72231,0.197368
678,0.0477475,6.73217,0.197362
679,0.0478795,6.74204,0.197356
680,0.0480119,6.75191,0.19735
681,0.0481445,6.76178,0.197344
682,0.0482774,6.77164,0.197338
683,0.0484107,6.78151,0.197332
684,0.0485442,6.79138,0.197326
685,0.0486781,6.80124,0.197319
686,0.0488122,6.81111,0.197313
687,0.0489467,6.82097,0.197307
688,0.0490814,6.83084,0.197301
689,0.0492165,6.8407,0.197295
690,0.0493518,6.85057,0.197289
691,0.0494875,6.86043,0.197283
692,0.0496235,6.87029,0.197277
693,0.0497597,6.88016,0.197271
694,0.0498963,6.89002,0.197265
695,0.0500332,6.89988,0.197259
696,0.0501704,6.90975,0.197252
697,0.0503079,6.91961,0.197246
698,0.0504457,6.92947,0.19724
699,0.0505838,6.93933,0.197234
700,0.0507223,6.94919,0.197228
701,0.050861,6.95906,0.197222
702,0.051,6.96892,0.197216
703,0.0511394,6.97878,0.197209
704,0.051279,6.98864,0.197203
705,0.051419,6.9985,0.197197
706,0.0515593,7.00836,0.197191
707,0.0516999,7.01822,0.197185
708,0.0518408,7.02807,0.197178
709,0.051982,7.03793,0.197172
710,0.0521235,7.04779,0.197166
711,0.0522653,7.05765,0.19716
712,0.0524074,7.06751,0.197154
713,0.0525499,7.07736,0.197147
714,0.0526926,7.08722,0.197141
715,0.0528357,7.09708,0.197135
716,0.0529791,7.10693,0.197129
717,0.0531228,7.11679,0.197122
718,0.0532668,7.12665,0.197116
719,0.0534111,7.1365,0.19711
720,0.0535558,7.14636,0.197103
721,0.0537007,7.15621,0.197097
722,0.053846,7.16607,0.197091
723,0.0539916,7.17592,0.197085
724,0.0541375,7.18577,0.197078
725,0.0542837,7.19563,0.197072
726,0.0544302,7.20548,0.197066
727,0.0545771,7.21533,0.197059
728,0.0547243,7.22519,0.197053
729,0.0548717,7.23504,0.197047
730,0.0550195,7.24489,0.19704
731,0.0551677,7.25474,0.197034
732,0.0553161,7.26459,0.197027
733,0.0554648,7.27445,0.197021
734,0.0556139,7.2843,0.197015
735,0.0557633,7.29415,0.197008
736,0.055913,7.304,0.197002
737,0.056063,7.31385,0.196996
738,0.0562134,7.3237,0.196989
739,0.0563641,7.33355,0.196983
740,0.0565151,7.34339,0.196976
741,0.0566664,7.35324,0.19697
742,0.056818,7.36309,0.196963
743,0.05697,7.37294,0.196957
744,0.0571222,7.38279,0.196951
745,0.0572748,7.39263,0.196944
746,0.0574278,7.40248,0.196938
747,0.057581,7.41233,0.196931
748,0.0577346,7.42217,0.196925
749,0.0578885,7.43202,0.196918
750,0.0580427,7.44186,0.196912
751,0.0581973,7.45171,0.196905
752,0.0583521,7.46155,0.196899
753,0.0585073,7.4714,0.196892
754,0.0586628,7.48124,0.196886
755,0.0588187,7.49109,0.196879
756,0.0589749,7.50093,0.196873
757,0.0591314,7.51077,0.196866
758,0.0592882,7.52062,0.196859
759,0.0594454,7.53046,0.196853
760,0.0596029,7.5403,0.196846
761,0.0597607,7.55014,0.19684
762,0.0599188,7.55999,0.196833
763,0.0600773,7.56983,0.196827
764,0.0602361,7.57967,0.19682
765,0.0603952,7.58951,0.196813
766,0.0605547,7.59935,0.196807
767,0.0607145,7.60919,0.1968
768,0.0608746,7.61903,0.196794
769,0.061035,7.62887,0.196787
770,0.0611958,7.63871,0.19678
771,0.061357,7.64855,0.196774
772,0.0615184,7.65838,0.196767
773,0.0616802,7.66822,0.19676
774,0.0618423,7.67806,0.196754
